CDS                                                             dN/dS   dN      dS 
ros.cds.fasta_GLEAN_10000006-chl.cds.fasta_GLEAN_10000006	0.5567	0.0047	0.0084
ros.cds.fasta_GLEAN_10000015-chl.cds.fasta_GLEAN_10000015	0.3126	0.0004	0.0012
ros.cds.fasta_GLEAN_10000018-chl.cds.fasta_GLEAN_10000018	0.2964	0.0031	0.0104
ros.cds.fasta_GLEAN_10000028-chl.cds.fasta_GLEAN_10000028	0.2976	0.0013	0.0042
ros.cds.fasta_GLEAN_10000039-chl.cds.fasta_GLEAN_10000039	0.1630	0.0007	0.0045
ros.cds.fasta_GLEAN_10000041-chl.cds.fasta_GLEAN_10000041	0.5638	0.0037	0.0065
ros.cds.fasta_GLEAN_10000042-chl.cds.fasta_GLEAN_10000042	0.1517	0.0036	0.0238
ros.cds.fasta_GLEAN_10000052-chl.cds.fasta_GLEAN_10000052	0.4480	0.0072	0.0161
ros.cds.fasta_GLEAN_10000056-chl.cds.fasta_GLEAN_10000056	0.1848	0.0005	0.0029
ros.cds.fasta_GLEAN_10000060-chl.cds.fasta_GLEAN_10000060	1.3409	0.0094	0.0070
ros.cds.fasta_GLEAN_10000067-chl.cds.fasta_GLEAN_10000067	0.1713	0.0008	0.0044
ros.cds.fasta_GLEAN_10000068-chl.cds.fasta_GLEAN_10000068	1.0568	0.0152	0.0144
ros.cds.fasta_GLEAN_10000069-chl.cds.fasta_GLEAN_10000069	0.5024	0.0227	0.0451
ros.cds.fasta_GLEAN_10000070-chl.cds.fasta_GLEAN_10000070	0.2873	0.0033	0.0115
ros.cds.fasta_GLEAN_10000071-chl.cds.fasta_GLEAN_10000071	0.1925	0.0037	0.0193
ros.cds.fasta_GLEAN_10000074-chl.cds.fasta_GLEAN_10000074	0.3661	0.0016	0.0044
ros.cds.fasta_GLEAN_10000077-chl.cds.fasta_GLEAN_10000077	0.3205	0.0085	0.0264
ros.cds.fasta_GLEAN_10000079-chl.cds.fasta_GLEAN_10000079	0.4932	0.0031	0.0063
ros.cds.fasta_GLEAN_10000081-chl.cds.fasta_GLEAN_10000081	0.3563	0.0020	0.0055
ros.cds.fasta_GLEAN_10000083-chl.cds.fasta_GLEAN_10000083	0.3138	0.0015	0.0048
ros.cds.fasta_GLEAN_10000086-chl.cds.fasta_GLEAN_10000086	2.5433	0.0355	0.0140
ros.cds.fasta_GLEAN_10000087-chl.cds.fasta_GLEAN_10000087	4.6812	0.0674	0.0144
ros.cds.fasta_GLEAN_10000098-chl.cds.fasta_GLEAN_10000098	0.0693	0.0011	0.0160
ros.cds.fasta_GLEAN_10000107-chl.cds.fasta_GLEAN_10000107	0.9599	0.0044	0.0046
ros.cds.fasta_GLEAN_10000112-chl.cds.fasta_GLEAN_10000112	0.6094	0.0039	0.0063
ros.cds.fasta_GLEAN_10000114-chl.cds.fasta_GLEAN_10000114	1.2817	0.0109	0.0085
ros.cds.fasta_GLEAN_10000117-chl.cds.fasta_GLEAN_10000117	0.8520	0.0119	0.0140
ros.cds.fasta_GLEAN_10000118-chl.cds.fasta_GLEAN_10000118	0.8602	0.0288	0.0335
ros.cds.fasta_GLEAN_10000119-chl.cds.fasta_GLEAN_10000119	1.4965	0.0177	0.0118
ros.cds.fasta_GLEAN_10000122-chl.cds.fasta_GLEAN_10000122	2.1910	0.0168	0.0077
ros.cds.fasta_GLEAN_10000126-chl.cds.fasta_GLEAN_10000126	0.3707	0.0013	0.0035
ros.cds.fasta_GLEAN_10000128-chl.cds.fasta_GLEAN_10000128	0.6357	0.0036	0.0057
ros.cds.fasta_GLEAN_10000136-chl.cds.fasta_GLEAN_10000136	0.4638	0.0025	0.0055
ros.cds.fasta_GLEAN_10000137-chl.cds.fasta_GLEAN_10000137	0.2941	0.0016	0.0053
ros.cds.fasta_GLEAN_10000147-chl.cds.fasta_GLEAN_10000147	0.6859	0.0040	0.0058
ros.cds.fasta_GLEAN_10000150-chl.cds.fasta_GLEAN_10000150	0.3494	0.0017	0.0048
ros.cds.fasta_GLEAN_10000158-chl.cds.fasta_GLEAN_10000158	1.6823	0.0044	0.0026
ros.cds.fasta_GLEAN_10000165-chl.cds.fasta_GLEAN_10000165	0.6083	0.0035	0.0058
ros.cds.fasta_GLEAN_10000166-chl.cds.fasta_GLEAN_10000166	1.2712	0.0040	0.0031
ros.cds.fasta_GLEAN_10000170-chl.cds.fasta_GLEAN_10000170	0.3220	0.0005	0.0016
ros.cds.fasta_GLEAN_10000172-chl.cds.fasta_GLEAN_10000172	0.6229	0.0029	0.0046
ros.cds.fasta_GLEAN_10000173-chl.cds.fasta_GLEAN_10000173	0.3769	0.0054	0.0142
ros.cds.fasta_GLEAN_10000174-chl.cds.fasta_GLEAN_10000174	3.3433	0.0103	0.0031
ros.cds.fasta_GLEAN_10000177-chl.cds.fasta_GLEAN_10000177	0.7280	0.0143	0.0196
ros.cds.fasta_GLEAN_10000180-chl.cds.fasta_GLEAN_10000180	0.9587	0.0031	0.0032
ros.cds.fasta_GLEAN_10000183-chl.cds.fasta_GLEAN_10000183	0.7778	0.0036	0.0047
ros.cds.fasta_GLEAN_10000185-chl.cds.fasta_GLEAN_10000185	0.1431	0.0015	0.0105
ros.cds.fasta_GLEAN_10000192-chl.cds.fasta_GLEAN_10000192	0.1547	0.0023	0.0146
ros.cds.fasta_GLEAN_10000193-chl.cds.fasta_GLEAN_10000193	0.0755	0.0005	0.0068
ros.cds.fasta_GLEAN_10000199-chl.cds.fasta_GLEAN_10000199	1.2252	0.0053	0.0043
ros.cds.fasta_GLEAN_10000201-chl.cds.fasta_GLEAN_10000201	0.4087	0.0054	0.0131
ros.cds.fasta_GLEAN_10000203-chl.cds.fasta_GLEAN_10000203	0.1691	0.0023	0.0137
ros.cds.fasta_GLEAN_10000210-chl.cds.fasta_GLEAN_10000210	0.1562	0.0010	0.0062
ros.cds.fasta_GLEAN_10000214-chl.cds.fasta_GLEAN_10000214	0.0777	0.0015	0.0188
ros.cds.fasta_GLEAN_10000215-chl.cds.fasta_GLEAN_10000215	2.7587	0.0100	0.0036
ros.cds.fasta_GLEAN_10000223-chl.cds.fasta_GLEAN_10000223	0.1530	0.0018	0.0118
ros.cds.fasta_GLEAN_10000226-chl.cds.fasta_GLEAN_10000226	0.2369	0.0030	0.0126
ros.cds.fasta_GLEAN_10000227-chl.cds.fasta_GLEAN_10000227	0.4492	0.0012	0.0026
ros.cds.fasta_GLEAN_10000228-chl.cds.fasta_GLEAN_10000228	0.6462	0.0035	0.0054
ros.cds.fasta_GLEAN_10000231-chl.cds.fasta_GLEAN_10000231	0.3164	0.0019	0.0060
ros.cds.fasta_GLEAN_10000243-chl.cds.fasta_GLEAN_10000243	0.4892	0.0024	0.0049
ros.cds.fasta_GLEAN_10000244-chl.cds.fasta_GLEAN_10000244	0.1092	0.0022	0.0200
ros.cds.fasta_GLEAN_10000248-chl.cds.fasta_GLEAN_10000248	0.1705	0.0007	0.0039
ros.cds.fasta_GLEAN_10000254-chl.cds.fasta_GLEAN_10000254	0.9310	0.0131	0.0141
ros.cds.fasta_GLEAN_10000256-chl.cds.fasta_GLEAN_10000256	0.3667	0.0032	0.0088
ros.cds.fasta_GLEAN_10000262-chl.cds.fasta_GLEAN_10000262	0.3797	0.0037	0.0098
ros.cds.fasta_GLEAN_10000270-chl.cds.fasta_GLEAN_10000270	0.2958	0.0025	0.0086
ros.cds.fasta_GLEAN_10000277-chl.cds.fasta_GLEAN_10000277	0.3443	0.0013	0.0039
